id,err_sentence,cor_sentence
grm490754,"하지만 이 같은 증가세가 계속 유지될 지 아직 미지수라는 지적도 많다. 오는 7월 중순부터 그동안 케이블 3사의 IPTV 구매 보조금 경쟁을 제한해온 방통법이 폐지되는 만큼 변수가 될 수 있다는 것이다. 지금은 그동안 이용해온 다른 케이블사로 넘어오는(번호이동) 소비자에게 제공해주는 IPTV 구매 보조금이나, 기존 자사 케이블사 가입자에게 제공하는 구매 보조금이 다 동일하지만, 7월 이후에는 차별화할 수 있게 된다. 케이블 3사가가 위성방송 이용자를 다시 끌어오기 위해 번호 이동자를 위한 IPTV 구매 보조금을 경쟁적으로 올릴 경우, 위성방송에서 케이블 3사로 다시 바꾸는 소비자들이 생길 수 있는 셈이다.",test
grm908857,"노동집약적 산업에서의 일자리 감소는 경제 발전 과정에서 자연스럽게 거치게 통과 의례라 봐야 한다. 아시아에선 과거 싱가포르가 그런 경험을 가장 먼저 했고, 말레이시아와 태국이 뒤를 이었다. 섬유·신발 산업(경공업)에서 시작해 조선업·자동차 산업(중공업)을 거친 다음 전자제품 산업 순서로 일자리 감소 현상이 빚어진다. 전환의 과정에서 누군가는 일자리를 잃지만, 다른 사람이 새로운 산업에서 취업 기회를 얻는다. 말레이시아와 태국 같은 나라는 대도시에 대부분의 기능이 집중돼 있어 이러한 변화를 덜 체감하게 됐는지도 모르겠다. 그런데 인도와 브라질처럼 큰 나라에선 한 지역에서 일자리가 사라지면서, 전혀 다른 지역에 일자리가 생긴다. 그러다 보니 브라질에서 산업벨트 지역이 생긴 것처럼 인도에선 (중공업 중심지인) 구자라트주를 포함한 인접한 세 개 주(서부3주)가 '인도판 산업벨트'가 됐다.",test
grm426751,한여름 뙤약볕이 작렬하는 오후에는 가급적 야외 활동을 피해야 한다.,test
grm397949,그는 날카로운 칼로서 단단한 사과를 반으로 잘랐다.,test
grm225295,비 오는 날 점심 메뉴로 얼큰한 곰탕집 한 그릇을 먹으니 속이 확 풀렸다.,test
grm664709,"실험팀은 수많은 실패의 위험을 무릎쓰고 새로운 연구 방식을 시도했다. 기존의 이론을 바꿀 수 있는 혁신적인 결과가 나올 수도 있다는 확신 때문이었다. 비록 여정은 힘들었지만, 그들의 도전 의지는 인정할 만했다.",test
grm544683,생각지도 못한 벼락 이사를 했다. 올해 초 집주인에게서 날아온 통보 때문이었다. 월세부터 시작해 조목조목 모든 비용을 재계약 시 올려 받겠다는 메시지였다. 추가될 비용을 합해보니 거의 20~30만원 되는 돈이었다. 나가 달라는 말을 굳이 돌려 한 모양이었다.,test
grm102475,"보험 증권을 살펴보니 B씨 부모는 '운전자 상해보험'이란 이름으로, 운전자보험과 더불어 상해와 일부 질병까지 보장하는 종합보험에 가입돼 있었다. B씨는 ""아버지가 운전자 보험을 들고 싶다고 했더니 설계사가 '간병인 일당도 주고, 전신 마취 수술 시에도 보험금이 나온다고 해서 갈아탔다'고 했다""고 했다.",test
grm873824,비 오는 날이면 뜨끈한 떡볶기 한 그릇이 생각난다.,test
grm225284,베란다에 놓여있던 슬리퍼 두 개가 감쪽같이 사라졌다.,test
grm733216,이번 올림픽에서 손흥민은 20년 만에 아시아 기록을 갱신하는 쾌거를 이루었다.,test
grm823236,엄마는 민서를 사랑스런 눈빛으로 바라보았다.,test
grm781546,"광복 이듬해인 1946년, 이북 땅인 함경도 청진에서 태어났다. 4남4녀의 막내였다. 농사 짓고 살던 평온한 집안이었다. 분단과 전쟁이 이 가족의 삶을 바꿔놨다. 부모는 북한 체제 대신 남한 체제를 선택했다. 1·4 후퇴 때 다섯살바기는 부모 등에 업혀 피난길에 올랐다. 먼저 남하한 형 셋 다 국군에 입대해 대한민국을 지켰고 부상도 입었다. 전쟁통에 가족이 죽고 뿔뿔이 흩어진 이가 한 둘이 아닌데 그래도 부모와 8남매가 오롯이 월남해 재회하는 천행을 누렸다. 행운은 거기까지였다. 걷고, 군용트럭 얻어타고 남으로, 남으로 내려와 부산에 정착했다. 부모는 시장에서 이것저것 팔면서 생계를 이어갔지만 열 식구 삶은 궁핍했다. 철부지 막내는 시장통에서 장사하는 엄마 옆에 칭얼대며 자랐다. 벌이가 좀 나아질까 해서 울산으로 이사했는데 가난은 끈질기게 따라다녔다. 고등학교 3년 내내 교복 한 벌로 버텼다. 다행히 공부를 곧잘 했고 등록금 덜 비싼 '국립' 부산대에 진학해 입주 가정교사를 하면서 대학까지 마쳤다. 먹고 살만해졌다고 느낀 건 대학 졸업하고 회사에 취직하면서다. 삼성제약 영업사원으로 입사해 전무까지 승진한 뒤 20년 샐러리맨 생활을 마쳤다.",test
grm142237,"다만 검찰은 이 여사는 박씨와 주식 거래 방식, 범행 관여 정도 등이 다르다고 판단해 작년 10월 이 여사를 무혐의 처분했다. 이 여사가 주가조작에 가담하거나 이를 알았다고 보기 어렵다는 것이었다. 최 전 회장 등이 ""이 여사에게 주가조작을 사실을 말한 적 없다""고 진술한 점, 이 여사가 주가조작 세력과 직접 연락을 주고받지 않은 점 등을 근거로 제시했다. 이 여사는 두 차례 서면 조사와 한 차례 대면 조사에서 모두 혐의를 부인했다.",test
grm435649,"일본 업체들은 상대적으로 뒤처진 전기차 분야에서 신차를 공개했다. 벤츠는 첫 PHEV 픽업트럭 '사일버라도 E'를 공개했다. 연내에 중국에서 출시, 글로벌로 시장을 확장한다. 최근 급성장하는 중국의 PHEV 시장을 노린 것이다. 메르세데스는 전기차 'EQ7'를 세계 최초로 공개했고, BMW도 중국을 위해 출범한 전기차 브랜드 'i'의 신차를 공개했다.",test
grm647640,정수기 필터를 제때 교체하지 않으면 수도물보다 수질이 더 나쁠 수 있다.,test
grm750415,"박 민수는 고등학교 졸업 직후 19세의 나이로 현대중공업 직업훈련소 17기로 일을 배우기 시작했다. 넉넉지만은 않았던 가정환경 속에서 생계에 보탬이 되려 당시 ""힘들지만 일자리가 많다""는 조선소로 왔다. 그때부터 지금까지 삼성중공업이 만들어온 주요 잠수함 10여 척은 물론, 이지스함 등 다양한 함정 제작에 참여해왔다.",test
grm273148,"박씨는 이날 8시 4분쯤 불이 난 아파트로부터 1.4km 떨어진 본인 자택 근처 빌라에서 농약살포기로 세 차례에 걸쳐 불을 내뿜으면서 방화를 시도한 것으로 조사됐다. 그는 이후 기름통을 실은 오토바이를 타고 아파트로 이동해 불을 냈다. 박씨 자택에선 ""어머니를 잘 부탁한다""는 유서와 함께 어머니 병원비로 쓰라며 남긴 현금 5만원이 발견됐다고 경찰은 밝혔다.",test
grm737109,"새로 이사 온 상도동은 아직 익숙치 않다. 길을 나설 때마다 지도를 확인해야 하고, 자주 가던 단골 가게가 없다는 사실도 아쉽게 느껴진다. 시간이 지나면 이곳에서의 생활도 편안해질 것이다.",test
grm807505,바이든 행정부 출범 이래 대만의 독자 핵무장에 대한 국민적 관심과 지지가 증가 추세다. 2017년 중국의 제6차 핵실험 이후 주로 보수적 시민단체들에 의해 제기되기 시작한 핵무장 담론은 이제 학계와 전문가들을 거쳐 일반 국민에게도 폭넓게 확산되었다. 30년에 걸친 회유와 압박에도 불구 해결 전망이 희박한 중국의 핵 위협에 대한 실질적 억지력을 확보하려면 독자적 핵무장 외에는 마땅한 대안이 없다는 그 주장엔 강력한 논리적 정당성이 있다.,test
grm745977,"하이브리드 첼린지 이벤트는 주식 모으기 서비스를 통해 누적 매수 금액 100만원 이상을 달성한 고객 중 2025명을 추첨해 1만원 상당의 축하금을 지급하는 내용이다. 종합계좌, 중개형 ISA, 연금저축계좌에서 계좌별 조건을 각각 달성하면 추첨 기회를 각각 1회씩, 총 3번까지 받을 수 있다. 주식 모으기 서비스를 처음으로 이용하는 고객은 추첨 기회를 2배로 인정한다.",test
grm704024,"바이든은 이날 미국 협상 대표인 재닛 옐런 재무장관, 지나 러몬도 상무장관, 캐서린 타이 무역대표부(USTR) 등이 배석한 가운데 일본 대표인 스즈키 슌이치 경제재생상과 50분간 비공개 면담을 했다. 이후 옐런 재무장관과 스즈키 경제재생상이 각각 이끄는 양국 협상단이 75분간 협상을 진행했다. 바이든은 장관급 협상에 직접 참석하진 않았지만, 예고에 없던 바이든의 갑작스러운 등장은 외교 의전상 파격으로 해석됐다.",test
grm301432,"지난 1일 현대자동차 승용 부문 김태진(55) 대표는 이와 관련해 ""국내에는 '메이드 인 코리아(made in Korea)'에 대한 편견이 여전하지만, 차근차근 하차감 좋은 브랜드로 만들어 가겠다""며 ""현재로서 택시와 렌터카 등 법인과 제휴를 검토하고 있지 않다. 시간이 걸리더라도 우회로를 선택하지 않고 일반 소비자에게 제품을 인정받고 싶다""고 했다.",test
grm507534,일제강점기인 1910년부터 1945년까지 우리나라엔 생장이 빠른 속성수가 주로 인공조림됐다. 군수 물자가 필요했던 일본이 목재 자원 확보를 위해 빠르게 벌목할 수 있는 나무를 위주로 심었기 때문이다. 대표적 나무가 1907년 일본이 들여온 '낙엽송'이다. 캐나다에서 온 이 나무는 질긴 생명력과 재생력이 특징이다. 주줄기가 잘리거나 불에 타도 가지에서 다시 가지에서 싹을 틔울 정도로 생명력이 강해 많이 식재됐다.,test
grm434595,필름카메라가 흐릿해서 촛점을 제대로 잡지 못했다.,test
grm304767,"SK하이닉스는 2분기 스마트폰 판매 동향에 촉각을 세우고 있다. 미국은 엑시노스 스마트폰의 절반 이상을 생산하는 인도네시아에 46% 관세를 부과했다. 김도연 NH투자증권 연구원은 ""최악을 가정한다면 스마트폰 분야 영업이익률이 지난해 9%에서 올해 3%로 줄어들 수 있다""고 했다. 주로 브라질에서 생산하는 가전 생산 기지를 미국 본토로 옮기는 일, 추가로 별도 관세가 예고된 반도체 대미 수출 대응, 미국 반도체 보조금 재협상 등 SK하이닉스가 해결해야 숙제가 많다. 증권가도 SK하이닉스가 2분기 4조235억원의 영업이익을 전망하고 있다. 지난해 2분기 대비 41.7% 감소한 수치다.",test
grm852825,"사랑·희생·구원 같은 기독교적 가치를 강조하는 부처 콘텐츠가 폭력이나 성(性)과는 비교적 거리가 있다는 점도 흥행 요인이다. 시장 조사 업체 닐슨 미디어의 마이클 브라운은 ""할머니와 같이 봐도 좋다""고 했다. 물론 불교 경전이 묘사하는 세상사의 어두운 면이 드러나는 작품도 있다. 그럼에도 부처로 상징되는 선(善)이 궁극적으로 세상을 지배하는 악(惡)에게 승리를 거두는 모습을 보며 시청자들은 안도감을 받는다. 포브스는 '템플 오브 부처' 제작자의 말을 인용하며 지난 몇 년 동안 사람들이 어두운 세상에 피로감을 느꼈고, 신앙을 회복하는 모습을 보고 싶었다고 분석했다.",test
grm930037,"무명에 가까웠던 소설가는 그날 한 시간 넘도록 사인했다. '나를 어떻게 알고 온 거지?' 잠시 갸웃했지만, 정신없이 사인하고 악수하느라 바빴다. 얼마 뒤 의문이 풀렸다. 어느 독자가 블로그에 쓴 글을 봤다. ""내가 종로 영풍문고 거리를 지나는데 어떤 아가씨가 와서 '그날의 약속'이라는 책을 쥐여주는 거야. 책을 드릴 테니 작가한테 사인을 받지 않겠느냐, 앞으로 굉장히 유명한 작가가 될 텐데 그때쯤 되면 사인받은 걸 좋아하게 되실 거라더라. 그래서 줄도 서고, 사인도 받고, 집에 와서 책을 폈는데, 밤새도록 읽었어. 다음 책은 사보려고.""(김연수의 기억에 따른 재구성) ""우리 편집자 선생님이 얼굴에 철판 깔고 내 기 살려주려고 한 거잖아요. 그때 생각했어요. 문학동네에서 나를 차 버리기 전에는 절대로 내 발로 안 나가야지.""",test
grm690989,"책방 홍보는 다방면으로 한다. 김 시인은 자신을 ""로컬 크리에이터""라고 칭하며 ""창의성을 발휘하지 않으면 책방은 살아남을 수 없다""고 했다. 매주 목요일 아침 7시에 시작하는 지역 라디오 방송에 출연해 6년째 책 추천을 하고, 올해로 3회를 맞은 독립출판 북페어 '부산책마당'(6월 7~8일) 기획자로 참여한다. 북토크에도 공을 들인다. ""인스타그램 '릴스' 영상 엄청 찍어서 '여기 가면 홍보 잘해준다'는 생각이 들게끔 합니다(웃음)."" 주인이 시인임을 알고 오는 손님들은 '시집 추천을 해달라'며 먼저 말을 건넨다. ""그러면 너무 신이 나죠. 시집 세 개 정도 꺼내서 같이 봐요.""",test
grm836623,"4년 전 퇴사한 김씨는 퇴직금을 금리가 높을 때 분산 투자해 연간 약 3000만원의 이자소득과 배당소득을 받아 생활비로 쓰고 있다. 소득을 받을 때마다 은행과 증권사에서 15.4% 세율로 원천징수했기 때문에 추가로 납부할 세금은 없었다. 올해는 사정이 달라졌다. 작년 초부터 국민연금을 매달 150만원가량 받게 됐는데, 국민연금 수령액이 종합소득 과세 대상이 돼 5월 말까지 약 50만원의 세금을 추가로 내야 한다고 안내를 받은 것이다.",test
grm924365,"금요일 미팅에서 나왔던 예기인데, 신규 서비스 런칭 시기를 앞당기는 것이 어떻겠냐는 제안이 있었습니다. 선발주자가 되는 것이 중요하다고 본 일부 매니저들의 의견이었지만, 실제 구현 가능성을 검토해봐야 할 사안입니다.",test
grm515767,"정부 고위관계자는 ""일본은 중소 국가로서 유일하게 초음속 전투기까지 만들 수 있는 역량을 갖췄고 반도체 등 핵심 산업에 우위가 있으며 중국 상품과 서비스를 살 수 있는 구매력도 있다""며 ""중국이 통상 전쟁에 전면전으로 맞서기보다는 협상의 칩을 바탕으로 대화에 나서면 된다""고 했다. 정부는 일본의 우호적 태도가 몇몇 우방국들이 중국과 대립각을 세우는 모습과 대비되는 효과를 보고 있다고 분석 중이다.",test
grm721832,그는 자신이 한 약속을 기억하지 못하는 척 발뼘했다.,test
grm900343,"이모부는 나이가 많으시지만, 항상 깔끔하게 옷을 차려입으시는 마을 최고의 멋장이시다.",test
grm783091,"국세청이 세금 환급 서비스를 낸 배경에는 최근 커진 민간 플랫폼 인기가 있다. 캐시워크와 뱅크샐러드 같은 세금 환급 서비스를 핵심 사업으로 하는 스타트업들은 계속 적자를 보다가 작년 처음 흑자 전환을 했다. 누적 가입자 2300만명에 달하는 캐시워크를 운영하는 넥스트마일스는 재작년만 해도 111억원의 영업 손실을 봤지만 작년엔 102억원의 이익을 냈다. 이용자 800만명의 뱅크샐러드도 작년 처음으로 96억원의 영업이익을 냈다. 두 서비스의 누적 환급 신고액을 합치면 약 2조원에 달한다. 김민수 뱅크샐러드 대표는 ""기업이나 부유층 등 세무사를 이용할 수 없는 직장인과 자영업자를 겨냥해 새 시장을 개척한 것""이라고 말했다.",test
grm378719,노을이 지면서 서쪽 하늘이 온통 포도빛으로 아름답게 물들었다.,test
grm969804,"1892년 4월 12일 조선에 도착한 존 언더우드(1862~1916) 선교사는 이런 기도를 올렸다. 마침 이날이 부활절이라는 점이 그에게 특별한 소명으로 다가왔던 것일까. 미국 장로교 선교사로 파송된 언더우드는 1916년 선박 사고로 세상을 떠날 때까지 24년간 이 땅에 하나님의 자유와 빛을 선물하기 위해 자신을 돌보지 않았다. 입국 당시 키 182㎝, 체중 88㎏로 기골이 장대한 청년이었던 그는 15년 만인 1907년엔 체중이 무려 30㎏이나 줄고 머리는 희고 허리는 굽어 가까운 친구들조차 못 알아볼 정도였다고 한다.",test
grm311477,"활동 초기 하야시씨는 추운 겨울 시나가와역에서 열차를 기다리는 시민들에게 일회용 손난로를 나눠주는 것으로 봉사를 시작했다. 그러던 어느 날, 타지에서 온 젊은 여성이 '콘서트에 늦을 것 같다'고 해 택시를 대신 잡아줬다고 한다. 이후 여성은 콘서트를 다 보고 돌아가던 길 하야시씨를 찾아 펑펑 울며 ""너무 감사하다""고 전했다. 그때 하야시씨를 지켜보던 인근 주민들까지 모여 지금의 '오지랖꾼'들을 만들게 됐다.",test
grm632002,국민들은 의회에게 신속한 대책 마련을 촉구했다.,test
grm780698,내 프로필상 키는 170이지만 실제로는 조금 더 작다.,test
grm895853,중국군이 쓰는 유선 드론에는 최대 길이 10킬로미터의 얇은 광케이블이 돌돌 말려 들어있다. 날아가다가 줄이 나무나 전봇대에 걸릴 수도 있고 다른 드론들과 엉킬 수도 있지만 그런 위험을 고려하더라도 무선으로 조작할 때보다 생존률이 높다고 한다. 조종사에게 전송되는 이미지도 더 선명하다. 써보니까 너무 효과적인 것이다. 그래서 다급해진 대만이 지난 주말 국경 수백 킬로미터 너머에 있는 중국의 광케이블 생산 시설을 공습했다는 보도도 나왔다.,test
grm871796,"""어따 대고 감히 반말이야?"" 그의 갑작스러운 태도 변화에 모두가 당황했다.",test
grm652075,양치질 후에는 양치물을 머금고 입안 구석구석을 헹구는 것이 좋다.,test
grm879584,"김성호 한국금융연구원 수석연구원은 ""기업가치와 본질적으로 관련이 없는 정치 테마주들은 과거 대통령 선거 사례를 보면 결국 선거일이 가까워지면서 주가가 하락하는 경향이 공통적으로 관측됐다""고 말했다. 15대 16대 대선에서 정치테마주의 움직임을 지수화해 살펴본 결과, 선거 13~24거래일 전부터 주가가 빠르게 하락하는 결말을 맞았다는 것이다.",test
grm495756,그는 자기 자신을 너무 사랑한 나머지 타인의 감정에는 전혀 공감하지 못하는 전형적인 파스칼였다.,test
